Address	County	OldPrice	NewPrice	Date
54A BOHERBEE, TRALEE, KERRY	Kerry	140,000.00	168000	07/01/21
6 GRANARY HALL, MOUNT OVAL, ROCHESTOWN	Cork	253,000.00	247940	07/01/21
65 Oldbridge Park, OLDTOWN DOMAIN, OBERSTOWN	Kildare	317,137.00	415449.47	07/01/21
66 Monksfield Park, Cloongowna, Athlone	Roscommon	348,898.67	352387.6567	07/01/21
68 SLI AN AIFRINN, ATHLONE, WESTMEATH	Westmeath	277,000.00	387800	07/01/21
69 ALEXANDRA PLACE, 55 58 EAST RD, DUBLIN 3	Dublin	350,000.00	339500	07/01/21
7 CASTLE ST, DUNMANWAY, CORK	Cork	190,000.00	262200	07/01/21
7 JOE MCDONNELL DRIVE, CRANMORE EAST, SLIGO	Sligo	49,250.00	55652.5	07/01/21
7 LANAHRONE HOUSE, STEAMBOAT QUAY, LIMERICK	Limerick	169,000.00	194350	07/01/21
7 ST MARYS GARDENS, MARY ST NORTH, DUNDALK	Louth	215,000.00	227900	07/01/21
7 THE GROVE, SALLINS PARK, SALLINS	Kildare	227,000.00	297370	07/01/21
71 GREAT WILLIAM OBRIEN ST, BLACKPOOL, CORK	Cork	40,000.00	42800	07/01/21
8 GLENTHORN PARK, DUBLIN HILL, CORK	Cork	240,000.00	264000	07/01/21
8 MILL LANE, DROGHEDA, LOUTH	Louth	51,000.00	48960	07/01/21
8 OLDTOWN COURT, OLDTOWN, CO DUBLIN	Dublin	200,000.00	280000	07/01/21
8 WILLOWBANK DR, RATHFARNHAM, DUBLIN 14	Dublin	675,000.00	783000	07/01/21
80 BLASKET SQ, WATERVILLE, BLANCHARDSTOWN DUBLIN 15	Dublin	225,000.00	303750	07/01/21
85 RATHBROUGHAN PARK, SLIGO	Sligo	106,000.00	144160	07/01/21
89 KYLEMORE DR, BALLYFERMOT, DUBLIN	Dublin	273,000.00	297570	07/01/21
9 CARRAGH HILL, KNOCKNACARRA ROAD, SALTHILL	Galway	515,000.00	690100	07/01/21
9 MOYVALE LAWN, BALLINA, CO MAYO	Mayo	148,000.00	185000	07/01/21
9 THE MALTHOUSE, HIGHER OCONNELL ST, KINSALE	Cork	186,000.00	178560	07/01/21
9 WOODVIEW, THE PINES, BALLINASLOE	Galway	170,000.00	156400	07/01/21
96 KINCORA GROVE, CLONTARF, DUBLIN 3	Dublin	735,000.00	735000	07/01/21
APARTMENT 106 RIVEROAKS, BALLISODARE TOWN CENTRE, BALLISODARE	Sligo	136,563.87	176167.3923	07/01/21
Apartment 10, Summerseat Avenue, Clonee	Meath	201,762.00	258255.36	07/01/21
APT 5 STEEPLE GATE, TRITONVILLE RD, SANDYMOUNT	Dublin	415,000.00	464800	07/01/21
APT 5, 20 21 MARKET ST, SLIGO	Sligo	70,000.00	94500	07/01/21
APT 75, WYCKHAM PLACE, WYCKHAM WAY DUBLIN 16	Dublin	380,000.00	380000	07/01/21
ARDNASILLAGH, OUGHTERARD, CO GALWAY	Galway	266,575.00	258577.75	07/01/21
BALLYRAHAN, TINAHELY, COOUNTY WICKLOW	Wicklow	215,000.00	230050	07/01/21
BENVOY, ANNESTOWN, COUNTY WATERFORD	Tipperary	180,000.00	219600	07/01/21
Birdies Nest Cottage, The Curragh	Kildare	70,000.00	67900	07/01/21
CARROWCRIN, DROMAHAIR, LEITRIM	Leitrim	149,000.00	198170	07/01/21
CARROWKEEL, KYLEBRACK, LOUGHREA	Galway	310,000.00	409200	07/01/21
CLONSAST, RATHANGAN, KILDARE	Kildare	6,348.00	8887.2	07/01/21
CULLEAIN, CARROROE, COUNTY GALWAY	Galway	95,000.00	112100	07/01/21
DONEGAL ROAD, BALLYBOFEY, CO. DONEGAL	Donegal	130,000.00	157300	07/01/21
DOOAGH, ACHILL, MAYO	Mayo	72,000.00	81360	07/01/21
DROMERK, DUNMONWAY, CORK	Cork	154,000.00	186340	07/01/21
DRUMBRAIN, AGHABOG, MONAGHAN	Monaghan	100,000.00	129000	07/01/21
FARNANE, CAPPAMORE, CO LIMERICK	Limerick	158,000.00	142200	07/01/21
FRIARS HILL, WICKLOW TOWN, WICKLOW	Wicklow	380,000.00	345800	07/01/21
GLENALUA COTTAGE, GLENALUA ROAD, KILLINEY	Dublin	380,000.00	364800	07/01/21
GROVE COTTAGE, CANROWER, OUGHTERARD	Galway	285,000.00	270750	07/01/21
KILMACURRANE, BANTEER, MALLOW	Cork	68,000.00	89760	07/01/21
KNOCKROE, ATTYMON, ATHENRY	Galway	130,000.00	162500	07/01/21
LAVAGH, BALLYMOTE, CO SLIGO	Sligo	200,000.00	262000	07/01/21
MIDDLELINE SOUTH, MOUNTSHANNON, MOUNTSHANNON	Clare	83,000.00	107070	07/01/21
MILLMOUNT, BOULALING, RIVERSTICK	Cork	175,000.00	159250	07/01/21
MILLSTREAM COTTAGE, OLD CREAMERY ROAD, DURRUS BANTRY	Cork	60,000.00	66600	07/01/21
MILLTOWN, BALLYSIMON, LIMERICK	Limerick	80,000.00	81600	07/01/21
PATRICK ST, CLARECASTLE, CLARE	Clare	157,500.00	143325	07/01/21
PORTROE, NENAGH, TIPPERARY	Tipperary	150,000.00	171000	07/01/21
RAMBLERS, STATION RD, BALLYGEARY	Wexford	235,000.00	227950	07/01/21
SEICEAMAIR, COOLROE, BALLINCOLLIG	Cork	425,000.00	442000	07/01/21
ST ANNES, 1 ROCKFIELD PARK, WATERFORD	Waterford	91,250.00	124100	07/01/21
ST THERESAS, 8 LISIEUX PARK, GLASHEEN RD	Cork	309,000.00	342990	07/01/21
SUNNYDALE, 540 SWORDS RD, SANTRY DUBLIN 9	Dublin	740,000.00	954600	07/01/21
UPTON, TAGHMON, WEXFORD	Wexford	278,000.00	300240	07/01/21
WINDWARD, 93 BARTON RD EAST, CHURCHTOWN DUBLIN 14	Dublin	659,500.00	863945	07/01/21
1 Lower  Main Street, Blackrock	Louth	362,831.00	439025.51	08/01/21
1 ORMOND FLATS, MITCHEL ST, THURLES	Tipperary	90,000.00	107100	08/01/21
1 Priestown Avenue, Kilbride	Meath	484,583.00	445816.36	08/01/21
10 DUNFIERTH PARK, JOHNSTOWN BRIDGE, KILDARE	Kildare	275,000.00	382250	08/01/21
10 Eaton Way, Eaton Brae, Shankill	Dublin	550,660.00	649778.8	08/01/21
10 GREENFIELD PARK, LAHINCH, CLARE	Clare	240,000.00	326400	08/01/21
10 MOYGLARE RISE, MAYNOOTH, CO KILDARE	Kildare	356,828.00	399647.36	08/01/21
106 MELLOWES RD, FINGLAS WEST DUBLIN 11, DUBLIN	Dublin	240,000.00	216000	08/01/21
11 CHURCHWELL GROVE, BELMAYNE, DUBLIN 13	Dublin	315,000.00	292950	08/01/21
11 THE GROVE, SALLINS PARK, SALLINS	Kildare	311,000.00	388750	08/01/21
111 BAILE AN CHOISTE, HEADFORD ROAD, GALWAY	Galway	102,000.00	121380	08/01/21
116 EMMET RD, INCHICORE, DUBLIN CITY	Dublin	355,000.00	344350	08/01/21
12 CREMORE DR, GRANGE MANOR, WATERFORD	Waterford	197,000.00	200940	08/01/21
12 Marlmont Gardens, Old Dublin Road, Dundalk	Louth	240,088.11	326519.8296	08/01/21
12 THE PARK, RATHDALE, ENFIELD	Meath	276,500.00	323505	08/01/21
13 Newtown Manor, Monaleen	Limerick	262,555.00	317691.55	08/01/21
13 O'MAHONYS PLACE, DOMINIC STREET, CORK	Cork	70,000.00	86800	08/01/21
13 SEACREST MANOR, LOWER POINT RD, DUNDALK	Louth	367,500.00	426300	08/01/21
131 MOUNT MERRION AVE, BLACKROCK, DUBLIN	Dublin	1,150,000.00	1380000	08/01/21
14 BELFIELD ABBEY, BOREENMANNA ROAD, CORK	Cork	480,000.00	561600	08/01/21
14 Gleanntan na hAbhann, Craughwell, Co. Galway	Galway	286,343.62	326431.7268	08/01/21
14 ST LAURENCES PARK, STILLORGAN, DUBLIN	Dublin	600,000.00	540000	08/01/21
15 ST FINTANS TERRACE, DURROW, LAOIS	Laois	131,000.00	129690	08/01/21
16 CLAREVILLE, POULADUFF RD, CORK	Cork	130,000.00	175500	08/01/21
16 DUN CUILINN, CUT BUSH, THE CURRAGH	Kildare	435,000.00	543750	08/01/21
16 GLEN ELLAN DR, SWORDS, DUBLIN	Dublin	339,000.00	335610	08/01/21
16 MOUNT PROSPECT PARK, CLONTARF, DUBLIN 3	Dublin	550,000.00	572000	08/01/21
162 ARD EASMUINN, DUNDALK, LOUTH	Louth	225,000.00	254250	08/01/21
16WEST PARK DTIVE, BALLYGALL, FINGLAS EAST DUBLIN 11	Dublin	338,000.00	402220	08/01/21
17 BELARMINE GROVE, BELARMINE WOODS, STEPASIDE	Dublin	480,000.00	494400	08/01/21
17 CHAPEL VIEW, STONEYFORD, KILKENNY	Kilkenny	277,000.00	346250	08/01/21
17 COUNDON COURT (JABALAL-DUKHAN), KILLINEY, COUNTY DUBLIN	Dublin	950,000.00	902500	08/01/21
17 HOOKLESS VILLAGE, FETHARD ON SEA, WEXFORD	Wexford	125,000.00	118750	08/01/21
18 LOWER MAIN ST, DUNGLOE, LETTERKENNY	Donegal	40,000.00	42800	08/01/21
18 TYNAN HALL PARK, KINGSWOOD, DUBLIN 24	Dublin	355,000.00	383400	08/01/21
19 EBENEZER TERRACE, DUBLIN 8, DUBLIN	Dublin	675,000.00	681750	08/01/21
19 FAIRVIEW DR, KILLYGOAN, MONAGHAN	Monaghan	132,500.00	174900	08/01/21
19 THE CRESCENT, BROADALE, MARYBOROUGH HILL	Cork	260,000.00	249600	08/01/21
19 THE WALLED GARDENS, CASTLETOWN, CELBRIDGE	Kildare	240,000.00	288000	08/01/21
19A SYDNEY AVENUE, BLACKROCK, CO DUBLIN	Dublin	873,000.00	1213470	08/01/21
2  THE ASH, MANOR BROOK, ADARE	Limerick	370,044.05	418149.7765	08/01/21
2 ARD MOR WALK FORTUNESTOWN LANE, TALLAGHT DUBLIN 2, DUBLIN	Dublin	199,000.00	197010	08/01/21
2 CRANN NA FUINSEOGA, KNOCKROOSKEY, WESTPORT	Mayo	315,000.00	305550	08/01/21
20 ARD AOIBHINN, INNISHANNON, CORK	Cork	270,000.00	259200	08/01/21
20 THE ALDERS, AVOYRWEN, DULEEK RD	Meath	195,000.00	228150	08/01/21
201 APPLES RD, WEDGEWOOD, SANDYFORD DUBLIN 16	Dublin	496,000.00	600160	08/01/21
21 ARDCARRAIG, GLYNTOWN, GLANMIRE	Cork	260,000.00	338000	08/01/21
21 THE LINKS, GREENCASTLE, DONEGAL	Donegal	144,000.00	171360	08/01/21
21 Tuairin, Roscom	Galway	334,361.00	317642.95	08/01/21
22 ARANLEIGH VALE, RATHFARHAM, DUBLIN 14	Dublin	617,000.00	672530	08/01/21
23 COOLRUA DR, BEAUMONT, DUBLIN 9	Dublin	370,000.00	384800	08/01/21
23 THE COURT, DALCASSIAN DOWNS, GLASNEVIN DUBLIN 11	Dublin	275,000.00	360250	08/01/21
23 THE HERMITAGE, ABBEYSIDE, DUNGARVAN	Waterford	370,000.00	403300	08/01/21
23 THE SCHOONER ALVERNO, CASTLE AVE, CLONTARF DUBLIN 3	Dublin	260,000.00	244400	08/01/21
24 CHARTER HOUSE, MAYNOOTH, KILDARE	Kildare	162,000.00	205740	08/01/21
24 Cluain Bui, Quinagh, Carlow	Carlow	210,572.69	280061.6777	08/01/21
24 DROMORE PARK, DROMORE, KILLYGORDON	Donegal	120,000.00	133200	08/01/21
24 FITZGERALD ST, HAROLDS CROSS, DUBLIN 6	Dublin	470,000.00	432400	08/01/21
24 GREENLEA PLACE, TERENURE RD WEST, DUBLIN 6W	Dublin	200,000.00	190000	08/01/21
24 THE GRANGE, JOHNS HILL, CO WATERFORD	Waterford	240,000.00	259200	08/01/21
25 ARD RIGH RD, STONEYBATTER, DUBLIN 7	Dublin	450,000.00	499500	08/01/21
26 BARR NA STRAIDE, BALLYHEIGUE, STRAIDE	Kerry	220,000.00	268400	08/01/21
26 DUNAVARRA, BALLINAKILL DOWNS, WATERFORD	Waterford	357,500.00	454025	08/01/21
26 PARKHILL RISE, KILNAMANAGH, DUBLIN 24	Dublin	290,000.00	353800	08/01/21
26 SOUTH HILL, ST FINTANS RD, SUTTON DUBLIN 13	Dublin	785,000.00	847800	08/01/21
28 GLEN ELLAN GREEN, SWORDS, DUBLIN	Dublin	406,000.00	454720	08/01/21
3 AN MAIMIN, BALLYFERRITER, DINGLE	Kerry	140,000.00	126000	08/01/21
3 CHERRYORCHARD HEIGHTS, ENNISCORTHY, WEXFORD	Wexford	150,000.00	157500	08/01/21
3 HOLLY WALK, CROMWELLSFORT GROVE, MULGANNON	Wexford	115,000.00	125350	08/01/21
3 HYDE PARK GARDENS, BLACKROCK, DUBLIN	Dublin	1,395,000.00	1339200	08/01/21
30 Abbey Gardens, Abbeyside, Dungarvan	Waterford	307,076.89	313218.4278	08/01/21
30 THOMAS HAND ST, SKERRIES, CO. DUBLIN	Dublin	660,000.00	712800	08/01/21
30 WAVERLEY MEADOW, RATHNEW, CO. WICKLOW	Wicklow	280,908.00	303380.64	08/01/21
31 THE WILLOWS, DRUMGOLA WOOD, CAVAN	Cavan	140,000.00	133000	08/01/21
32 THE VIEW, WOODPARK, DUBLIN 16	Dublin	470,000.00	512300	08/01/21
33 MILLERS AVE, MILLERS GLEN, SWORDS	Dublin	262,114.00	309294.52	08/01/21
34 THE HEATH, LIFFEY HALL, NEWBRIDGE	Kildare	275,000.00	272250	08/01/21
342 Maryborough Village, Mountrath Road, Portlaoise	Laois	207,048.45	285726.861	08/01/21
35 BAILIS DOWNS JOHNSTOWN NAVAN, MEATH	Meath	217,000.00	230020	08/01/21
35 MEADOW COURT, ELMPARK, CLAREMORRIS	Mayo	122,000.00	145180	08/01/21
37 GLENBROOK, OLD SINGLAND RD, LIMERICK	Limerick	210,000.00	205800	08/01/21
37 Moin na Ri, Kilworth	Cork	289,500.00	260550	08/01/21
37 The Drive, Semple Woods	Dublin	570,000.00	723900	08/01/21
38MARNIERS VIEW, DERRYMIHANE, CASTLETOWN BERE	Cork	185,000.00	238650	08/01/21
4 INGLEWOOD CLOSE, BUNCLODY, CARLOW	Carlow	237,000.00	291510	08/01/21
4 TOGHER CRESCENT, URLINGFORD, CO KILKENNY	Kilkenny	156,000.00	145080	08/01/21
40 CRANNAGH PARK, RATHFARNHAM, DUBLIN 14	Dublin	732,000.00	732000	08/01/21
40 SUNDAYS WELL, LISLOOSE, TRALEE	Kerry	135,000.00	183600	08/01/21
41 CAROLANS COURT, KILRONAN CASTLE, BALLYFARNON	Roscommon	108,000.00	140400	08/01/21
43 ASCAIL ROIS, CARRICKMACROSS, CO MONAGHAN	Monaghan	210,000.00	283500	08/01/21
43 BEECH DRIVE, GREENFIELDS, OLD TRAMORE ROAD	Waterford	187,000.00	205700	08/01/21
45 INCHICRONAN, CRUSHEEN, ENNIS	Clare	200,000.00	188000	08/01/21
46 FR BYRNE PARK, GRAIGUECULLEN, CARLOW	Carlow	102,500.00	109675	08/01/21
46 HOLYWELL VILLAS KINSEALY SWORDS, DUBLIN	Dublin	280,000.00	330400	08/01/21
46 MARLTON HALL, MARLTON ROAD, WICKLOW	Wicklow	427,500.00	436050	08/01/21
47 St Brendans Avenue, Woodquay	Galway	120,000.00	135600	08/01/21
48 CEDAR BROOK WALK, DUBLIN 10, DUBLIN	Dublin	155,000.00	172050	08/01/21
48 CHESTNUT MEADOWS, BALLINGLANNA, GLANMIRE	Cork	505,000.00	545400	08/01/21
49 FARNEY PARK SANDYNIOUNT, DUBLIN 4, DUBLIN	Dublin	1,080,000.00	1447200	08/01/21
5 CATHERINE STREET, WATERFORD	Waterford	360,000.00	421200	08/01/21
50 ROSSMORE PARK, NEWTOWNMOUNTKENNEDY, WICKLOW	Wicklow	320,000.00	416000	08/01/21
51 CHESTNUT GROVE, MULLINGAR, WESTMEATH	Westmeath	280,000.00	280000	08/01/21
526 LONGBOAT QUAY NORTH, SIR JOHN ROGERSONS QUAY, DUBLIN 2	Dublin	815,000.00	733500	08/01/21
54 SHANAKILL, MONAVALLEY, TRALEE	Kerry	350,000.00	455000	08/01/21
55 CASTLEKNOCK PARK, CASTLEKNOCK, DUBLIN 15	Dublin	760,000.00	699200	08/01/21
55 KENNDY PARK, TRAMORE, WATERFORD	Waterford	71,700.00	79587	08/01/21
55 THORNHILL HEIGHTS, CELBRIDGE, KILDARE	Kildare	314,000.00	411340	08/01/21
59 FANA BURCA, KNOCKNACARRA, GALWAY	Galway	231,000.00	272580	08/01/21
5A SOMMERTON PARK, BALLINLOUGH RD, CORK	Cork	375,000.00	423750	08/01/21
6 CASTLE HEATH, SWORDS RD, MALAHIDE	Dublin	461,000.00	585470	08/01/21
6 HAYWORTH CLOSE, ONGAR VILLAGE, CLONSILLA DUBLIN 15	Dublin	164,000.00	150880	08/01/21
62 NEW ST, LISMORE, WATERFORD	Waterford	70,000.00	71400	08/01/21
66 HEATH SQ, NORTH RD, FINGLAS DUBLIN 11	Dublin	275,000.00	272250	08/01/21
7 Oldbridge Manor, Drogheda	Meath	251,101.32	266167.3992	08/01/21
7 Spring View, Cernew Road, Gorey	Wexford	255,500.00	296380	08/01/21
7 THE MALL, BALLYSHANNON, DONEGAL	Donegal	87,000.00	102660	08/01/21
7 WILLIAMSTOWN VILLAGE, BALLYGUNNER, WATERFORD	Waterford	355,000.00	429550	08/01/21
8 CLARNEY HALL, RATHDOWNEY, LAOIS	Laois	147,000.00	152880	08/01/21
8 ROSEBERRY HILL, QUINAGH, CARLOW	Carlow	357,000.00	417690	08/01/21
8 THE COURT, HIGH PARK, DRUMCONDRA	Dublin	305,000.00	427000	08/01/21
8 WARRENSTOWN DR, THE MEATH, BLANCHARDSTOWN DUBLIN 15	Dublin	282,000.00	389160	08/01/21
81 BALLYKEEFFE EST, DOORADOYLE, LIMERICK	Limerick	257,500.00	324450	08/01/21
82 CHAPELGATE, ST ALPHONSUS RD UPPER, DRUMCONDRA DUBLIN 9	Dublin	375,000.00	360000	08/01/21
84 GRATTAN PARK, SALTHILL, GALWAY	Galway	520,555.00	541377.2	08/01/21
84 SEAMOUNT APARTMENTS, BOOTERSTOWN, CO DUBLIN	Dublin	505,000.00	651450	08/01/21
87 Beaulieu Village, Termonfeckin Road, Drogheda	Louth	202,643.00	239118.74	08/01/21
9  PARKSIDE HEATH, MALAHIDE ROAD, BALGRIFFIN	Dublin	400,000.00	360000	08/01/21
9 ASGARD RD, HOWTH, DUBLIN	Dublin	580,000.00	696000	08/01/21
9 BEVERLEY COURT, 138 VERNON AVE, CLONTARF DUBLIN 3	Dublin	285,000.00	270750	08/01/21
9 CASTLE GROVE, CLONTARF, DUBLIN 3	Dublin	680,000.00	727600	08/01/21
9 LAOIS NAGREINNE, BURNFOOT, DONEGAL	Donegal	59,000.00	58410	08/01/21
9 RACEFIELD, NEWCASTLE, WICKLOW	Wicklow	685,000.00	767200	08/01/21
91 MEADOW HILL, LETTERKENNY, DONEGAL	Donegal	140,000.00	151200	08/01/21
99 CASTLELAND PARK WAY, BALBRIGGAN	Dublin	276,426.00	362118.06	08/01/21
ABBEYTOWN, BOYLE, ROSCOMMON	Roscommon	167,000.00	225450	08/01/21
ANNMOUNT, GLOUNTHAUNE, CORK	Cork	230,000.00	289800	08/01/21
APARTMENT 115, LONGBOAT QUAY NORTH, DUBLIN2	Dublin	6,770,926.00	9005331.58	08/01/21
APARTMENT 529, LONGBOAT QUAY NORTH, DUBLIN 2	Dublin	273,394.37	336275.0751	08/01/21
Apartment No. 4 Anu, Dunluce, 21 Anglesea Road	Dublin	1,035,242.30	1138766.53	08/01/21
APT 29, THE MEWS, CASHEL	Tipperary	75,000.00	94500	08/01/21
Apt 37 Ardilaun Court, Sybil Hill Road, Raheny	Dublin	317,180.62	386960.3564	08/01/21
APT 91 THE CRESENT BUILDING, PARKWEST, DUBLIN 12	Dublin	217,000.00	271250	08/01/21
APT 96 PEMBERTON HOUSE, MOUNTJOY SQUARE APTS, DUBLIN 1	Dublin	210,000.00	207900	08/01/21
APT19 ROSEMOUNT, GLANDORE ROAD, DRUMCONDRA	Dublin	366,000.00	461160	08/01/21
ARDMAYLE, CASHEL, TIPPERARY	Tipperary	247,500.00	242550	08/01/21
BALLINDONEY, BALLYWILLIAM, ENNISCORTHY	Wexford	258,000.00	337980	08/01/21
BALLYCORMICH HOUSE, AGLISH, ROSCREA	Tipperary	88,000.00	95920	08/01/21
CAPPAGH BEG, BALLYDEHOB, CORK	Cork	166,000.00	224100	08/01/21
CLASNABRADDEN, NORTHLANDS, SHERCOCK	Cavan	60,000.00	79800	08/01/21
CONVENT RD, BALLAGHADEREEN, ROSCOMMON	Roscommon	220,000.00	248600	08/01/21
COOLESHALL, KILLAVILLA, ROSCREA	Tipperary	300,000.00	417000	08/01/21
Corwillan, Ballybay	Monaghan	135,000.00	132300	08/01/21
COTTAGE 8, MAGHERY, DUNGLOE	Donegal	68,500.00	82885	08/01/21
CREE, KILRUSH, CLARE	Clare	72,500.00	81925	08/01/21
CROVER, BLOOMFIELD, CO. MONAGHAN	Monaghan	320,000.00	380800	08/01/21
CULTRAIN, CLOGHER, WESTPORT	Mayo	151,500.00	187860	08/01/21
CURRAGRAIGUE, BLENNERVILLE, TRALEE	Kerry	78,000.00	89700	08/01/21
DRUMCUNNION, SHANTONAGH, CASTLEBLAYNERY	Monaghan	20,000.00	22000	08/01/21
EDENBURT, LISDUFF, VIRGINIA	Cavan	421,000.00	383110	08/01/21
FINNOR, CROGHAN, CARRICK ON SHANNON	Roscommon	41,000.00	51660	08/01/21
FINSBORO, COOLBAWN, CASTLECOMER	Kilkenny	45,000.00	46350	08/01/21
FORGESTOWN, MOYCARKEY, CASHEL	Tipperary	109,000.00	105730	08/01/21
GARVAGH, BARNESMORE, DONEGAL TOWN	Donegal	350,000.00	371000	08/01/21
GLANWORTH ROAD, CLONLOUGH, MITCHLESTOWN	Cork	118,000.00	115640	08/01/21
GLENCAIRN, CROSS DOUGLAS RD, CORK	Cork	440,000.00	422400	08/01/21
GLENMEEN, KILREEKIL, LOUGHREA	Galway	150,000.00	178500	08/01/21
GLENMORGAN, HOLLYFORD, TIPPERARY	Tipperary	115,000.00	112700	08/01/21
GORTEEN, DROMAHAIRE, CO LEITRIM	Leitrim	11,042.00	11814.94	08/01/21
GORTHWOSE, SCRAMOGUE, ROSCOMMON	Roscommon	165,000.00	188100	08/01/21
GORTNAGOYNE, DUNMORE, GALWAY	Galway	189,000.00	240030	08/01/21
HILLCREST, HARBOUR ROAD, RUSH	Dublin	280,000.00	327600	08/01/21
HOUSE NO. 1 BELAN, KILKEA, CO KILDARE	Kildare	800,000.00	816000	08/01/21
Kilcooly, Ballydavid, Tralee	Kerry	161,500.00	153425	08/01/21
KILCULLEN SOUTH, RYLANE, CO CORK	Cork	212,000.00	256520	08/01/21
KILMORE, KILCOCK, MEATH	Meath	377,500.00	381275	08/01/21
KILTULLA, CARNMORE, ORANMORE	Galway	325,000.00	448500	08/01/21
LAKEVIEW COURT, CORDRESSAGH, DOWRA	Cavan	260,000.00	343200	08/01/21
LEGAGINNY, BALLINAGH, CAVAN	Cavan	115,000.00	115000	08/01/21
LIOS NA GAOITHE, LYDICAN, ORANMORE	Galway	510,000.00	647700	08/01/21
LOUGHCREW HOUSE, CURLEYLAND, ATHBOY	Meath	220,000.00	226600	08/01/21
MAGHERACLOY, ST JOHNSTON, DONEGAL	Donegal	220,000.00	206800	08/01/21
MIMOSA, 13 GROTTO AVE, BOOTERSTOWN	Dublin	630,000.00	667800	08/01/21
No 7 Sallin Rae, Park Road, Killarney	Kerry	330,000.00	462000	08/01/21
No 8 Sallins Rae, Park Road, Killarney	Kerry	330,000.00	303600	08/01/21
No. 68 Cluain Ard, Knockacorbally, Blarney	Cork	272,475.00	346043.25	08/01/21
ODAGH, GLENDINE RD, KILKENNY	Kilkenny	288,300.00	371907	08/01/21
RIVER ST, CLARA, OFFALY	Offaly	73,000.00	97090	08/01/21
ROSC, ENNISKERRY VILLAGE, CO WICKLOW	Wicklow	820,000.00	1082400	08/01/21
SCRAMOGUE, ROSCOMMON	Roscommon	170,000.00	192100	08/01/21
THE COACH HOUSE, BOLTON HILL, MOONE	Kildare	400,000.00	412000	08/01/21
THE TERRACE, BORRISOKANE, TIPPERARY	Tipperary	192,000.00	224640	08/01/21
15 ALTUS, SUNDAY'S WELL ROAD, CORK	Cork	370,044.00	399647.52	09/01/21
5 ASH SQ, LACKEN WOOD, WATERFORD	Waterford	225,000.00	229500	09/01/21
52 BLOCK B, SEVEN OAKS, SARSFIELD RD DUBLIN 10	Dublin	265,000.00	363050	09/01/21
13 OLD BUNDORAN RD, SLIGO, SLIGO	Sligo	122,000.00	143960	10/01/21
22 WOLFE TONE ST, KILKENNY, KILKENNY	Kilkenny	245,000.00	245000	10/01/21
38 ROSSE COURT HEIGHTS, LUCAN, DUBLIN	Dublin	190,000.00	245100	10/01/21
APT 16, 86 REUBEN ST, RIALTO	Dublin	120,000.00	142800	10/01/21
APT 5, MILLRACE VIEW, WOLFE TONE ST	Sligo	117,000.00	111150	10/01/21
1 BLAINROE COTTAGES, BLAINROE, CO WICKLOW	Wicklow	170,000.00	168300	11/01/21
1 SANDFIELD TERRACE, MALLOW, CORK	Cork	150,000.00	208500	11/01/21
1 & 2 DORSET LANE, DUBLIN 1	Dublin	300,000.00	354000	11/01/21
11 BRIDES GLEN PARK, SWORDS, DUBLIN	Dublin	190,000.00	203300	11/01/21
11 CREAGH WOODS, GOREY, WEXFORD	Wexford	153,500.00	168850	11/01/21
116 TIRELLAN HEIGHTS, HEADFORD RD, GALWAY CITY	Galway	200,000.00	182000	11/01/21
12 LIFFEY VALE, LIFFEY VALLEY PARK, LUCAN	Dublin	275,000.00	283250	11/01/21
12 REVINGTON PARK, NORTH CIRCULAR ROAD, LIMERICK	Limerick	136,667.00	174933.76	11/01/21
123 Dun Eimear, Castlemartin Road, Bettystown	Meath	259,911.88	272907.474	11/01/21
13 GINGERSTOWN PARK CARAGH NAAS, KILDARE	Kildare	450,000.00	580500	11/01/21
13 MANOR COURT, ST MOCHTAS PARK, COOLMINE DUBLIN 15	Dublin	215,000.00	275200	11/01/21
13 ST ALPHONSUS RD, WATERFORD, WATERFORD	Waterford	125,000.00	153750	11/01/21
130 OAKLEIGH WOOD, DOORADOYLE RD, LIMERICK	Limerick	170,000.00	212500	11/01/21
133 CRATLOE WOOD, CRATLOE RD, LIMERICK	Limerick	70,000.00	71400	11/01/21
15 COOLOCK VILLAGE, COOLOCK, DUBLIN 5	Dublin	305,000.00	402600	11/01/21
15 ELWORTH COURT, GOLDEN ISLAND, ATHLONE	Westmeath	125,000.00	142500	11/01/21
16  Gandon Place, Gandon Park, Lican	Dublin	330,395.00	320483.15	11/01/21
16 SOUTHLANDS, RATHMICHAEL PARK, SHANKILL	Dublin	96,400.00	103148	11/01/21
172 MADEIRA OAKS, THE MOYNE, ENNISCORTHY	Wexford	163,000.00	174410	11/01/21
19 ELDER HEATH ROW, KILTIPPER ROAD, DUBLIN 24	Dublin	345,000.00	334650	11/01/21
19 MORRISTOWN, NEWBRIDGE, KILDARE	Kildare	220,000.00	305800	11/01/21
19 Seoid Na Tra, Bettystown	Meath	263,436.12	255533.0364	11/01/21
19 TERENURE GATE, TERENURE, DUBLIN 6W	Dublin	790,000.00	837400	11/01/21
2 KENURE CRESCENT, RUSH, DUBLIN	Dublin	295,000.00	351050	11/01/21
2 SKEHANORE, SOUTH DOUGLAS RD, CORK	Cork	230,000.00	287500	11/01/21
2 The Crescent, Mount Stewart, Portlaoise	Laois	233,480.00	235814.8	11/01/21
2 THE OAKS, BALLAGHADERREEN, ROSCOMMON	Roscommon	90,000.00	81900	11/01/21
